name,rds_name,schedule_url,table_url,start
San Marino,smr_campionato_2025-2026.rds,https://www.worldfootball.net/all_matches/smr-campionato-2025-2026/,https://www.worldfootball.net/schedule/smr-campionato-2025-2026-spieltag/99/,f
Scotland,sco_premiership_2025-2026.rds,https://www.worldfootball.net/all_matches/sco-premiership-2025-2026/,https://www.worldfootball.net/schedule/sco-premiership-2025-2026-spieltag/99/,f
Scotland Championship,sco_championship_2025-2026.rds,https://www.worldfootball.net/all_matches/sco-championship-2025-2026/,https://www.worldfootball.net/schedule/sco-championship-2025-2026-spieltag/99/,f
Scotland League One,sco_league-one_2025-2026.rds,https://www.worldfootball.net/all_matches/sco-league-one-2025-2026/,https://www.worldfootball.net/schedule/sco-league-one-2025-2026-spieltag/99/,f
Scotland League Two,sco_league-two_2025-2026.rds,https://www.worldfootball.net/all_matches/sco-league-two-2025-2026/,https://www.worldfootball.net/schedule/sco-league-two-2025-2026-spieltag/99/,f
Scotland championship,sco_premiership_2025-2026_championship.rds,https://www.worldfootball.net/all_matches/sco-premiership-2025-2026-championship/,https://www.worldfootball.net/schedule/sco-premiership-2025-2026-championship-spieltag/99/,s
Scotland relegation,sco_premiership_2025-2026_relegation.rds,https://www.worldfootball.net/all_matches/sco-premiership-2025-2026-relegation/,https://www.worldfootball.net/schedule/sco-premiership-2025-2026-relegation-spieltag/99/,s
Serbia,srb_super-liga_2025-2026.rds,https://www.worldfootball.net/all_matches/srb-super-liga-2025-2026/,https://www.worldfootball.net/schedule/srb-super-liga-2025-2026-spieltag/99/,f
Serbia championship,srb_super-liga_2025-2026_championship.rds,https://www.worldfootball.net/all_matches/srb-super-liga-2025-2026-championship/,https://www.worldfootball.net/schedule/srb-super-liga-2025-2026-championship-spieltag/99/,s
Serbia relegation,srb_super-liga_2025-2026_relegation.rds,https://www.worldfootball.net/all_matches/srb-super-liga-2025-2026-relegation/,https://www.worldfootball.net/schedule/srb-super-liga-2025-2026-relegation-spieltag/99/,s
Slovakia,svk_super-liga_2025-2026.rds,https://www.worldfootball.net/all_matches/svk-super-liga-2025-2026/,https://www.worldfootball.net/schedule/svk-super-liga-2025-2026-spieltag/99/,f
Slovakia championship,svk_super-liga_2025-2026_championship.rds,https://www.worldfootball.net/all_matches/svk-super-liga-2025-2026-championship/,https://www.worldfootball.net/schedule/svk-super-liga-2025-2026-championship-spieltag/99/,s
